,Country Name,Country Code,iso_a3,Year,Curr Acc Balance
203,Poland,POL,POL,2009,19239.92847
204,Russian Federation,RUS,RUS,2009,19389.94118
205,South Africa,ZAF,ZAF,2009,12568.4536
206,"Korea, Rep.",KOR,KOR,2009,29508.38151
207,Sweden,SWE,SWE,2009,40279.4616
208,Switzerland,CHE,CHE,2009,53354.00464
209,United States,USA,USA,2009,47099.98047
210,Australia,AUS,AUS,2010,39336.66348
211,Brazil,BRA,BRA,2010,14299.55514
212,United Kingdom,GBR,GBR,2010,36576.58654
213,Canada,CAN,CAN,2010,40099.44824
214,Chile,CHL,CHL,2010,18161.80924
215,China,CHN,CHN,2010,9253.765188
216,Czech Republic,CZE,CZE,2010,27881.968
217,Denmark,DNK,DNK,2010,43003.05459
218,Euro area,EUZ,EUZ,2010,35773.73141
219,Hungary,HUN,HUN,2010,21751.83384
220,Indonesia,IDN,IDN,2010,8505.748148
221,Japan,JPN,JPN,2010,35335.37351
222,Mexico,MEX,MEX,2010,15255.01905
223,New Zealand,NZL,NZL,2010,31222.45448
224,Poland,POL,POL,2010,21072.52658
225,Russian Federation,RUS,RUS,2010,20490.12672
226,South Africa,ZAF,ZAF,2010,12912.12503
227,"Korea, Rep.",KOR,KOR,2010,31736.62844
228,Sweden,SWE,SWE,2010,42223.91967
229,Switzerland,CHE,CHE,2010,54858.44808
230,United States,USA,USA,2010,48466.6576
231,Australia,AUS,AUS,2011,42003.15806
232,Brazil,BRA,BRA,2011,15040.06109
233,United Kingdom,GBR,GBR,2011,37379.29097
234,Canada,CAN,CAN,2011,41666.70763
235,Chile,CHL,CHL,2011,20342.56148
236,China,CHN,CHN,2011,10292.94048
237,Czech Republic,CZE,CZE,2011,29001.36804
238,Denmark,DNK,DNK,2011,44403.38484
239,Euro area,EUZ,EUZ,2011,37425.37192
240,Hungary,HUN,HUN,2011,23038.80802
241,Indonesia,IDN,IDN,2011,9095.741723
242,Japan,JPN,JPN,2011,36214.43977
243,Mexico,MEX,MEX,2011,16520.25922
244,New Zealand,NZL,NZL,2011,32701.3786
245,Poland,POL,POL,2011,22827.69814
246,Russian Federation,RUS,RUS,2011,22798.67443
247,South Africa,ZAF,ZAF,2011,13393.76689
248,"Korea, Rep.",KOR,KOR,2011,32546.75365
249,Sweden,SWE,SWE,2011,44608.58026
250,Switzerland,CHE,CHE,2011,57987.50203
251,United States,USA,USA,2011,49882.55813
252,Australia,AUS,AUS,2012,42836.67186
253,Brazil,BRA,BRA,2012,15046.29018
254,United Kingdom,GBR,GBR,2012,38514.02617
255,Canada,CAN,CAN,2012,42290.96541
256,Chile,CHL,CHL,2012,21507.69257
257,China,CHN,CHN,2012,11168.6973
258,Czech Republic,CZE,CZE,2012,29254.73127
259,Denmark,DNK,DNK,2012,44803.96824
260,Euro area,EUZ,EUZ,2012,37799.03875
261,Hungary,HUN,HUN,2012,23275.23186
262,Indonesia,IDN,IDN,2012,9713.900487
263,Japan,JPN,JPN,2012,37605.97426
264,Mexico,MEX,MEX,2012,17162.92737
265,New Zealand,NZL,NZL,2012,32988.60976
266,Poland,POL,POL,2012,23745.6978
267,Russian Federation,RUS,RUS,2012,24303.47341
268,South Africa,ZAF,ZAF,2012,13215.70868
269,"Korea, Rep.",KOR,KOR,2012,33557.12872
270,Sweden,SWE,SWE,2012,45432.43197
271,Switzerland,CHE,CHE,2012,59933.59868
272,United States,USA,USA,2012,51602.93105
273,Australia,AUS,AUS,2013,45906.44004
274,Brazil,BRA,BRA,2013,15588.72613
275,United Kingdom,GBR,GBR,2013,40218.74726
276,Canada,CAN,CAN,2013,44298.57873
277,Chile,CHL,CHL,2013,22439.27325
278,China,CHN,CHN,2013,11872.49738
279,Czech Republic,CZE,CZE,2013,30818.10816
280,Denmark,DNK,DNK,2013,46726.85414
281,Euro area,EUZ,EUZ,2013,38986.0722
282,Hungary,HUN,HUN,2013,24556.71535
283,Indonesia,IDN,IDN,2013,10067.46574
284,Japan,JPN,JPN,2013,39402.0251
285,Mexico,MEX,MEX,2013,17373.89746
286,New Zealand,NZL,NZL,2013,36242.62123
287,Poland,POL,POL,2013,24567.50617
288,Russian Federation,RUS,RUS,2013,26073.87453
289,South Africa,ZAF,ZAF,2013,13606.9429
290,"Korea, Rep.",KOR,KOR,2013,34244.31214
291,Sweden,SWE,SWE,2013,46312.39238
292,Switzerland,CHE,CHE,2013,62225.08727
293,United States,USA,USA,2013,53106.53677
294,Australia,AUS,AUS,2014,46880.89518
295,Brazil,BRA,BRA,2014,15718.56495
296,United Kingdom,GBR,GBR,2014,41580.60249
297,Canada,CAN,CAN,2014,45753.75055
298,Chile,CHL,CHL,2014,22786.64277
299,China,CHN,CHN,2014,12480.33853
300,Czech Republic,CZE,CZE,2014,32502.47535
301,Denmark,DNK,DNK,2014,47901.44736
302,Euro area,EUZ,EUZ,2014,39949.71223
303,Hungary,HUN,HUN,2014,25699.7505
304,Indonesia,IDN,IDN,2014,10278.17731
305,Japan,JPN,JPN,2014,39555.41201
306,Mexico,MEX,MEX,2014,18056.78981
307,New Zealand,NZL,NZL,2014,37293.35679
308,Poland,POL,POL,2014,25475.50469
309,Russian Federation,RUS,RUS,2014,25761.64802
310,South Africa,ZAF,ZAF,2014,13602.10264
311,"Korea, Rep.",KOR,KOR,2014,35324.49767
312,Sweden,SWE,SWE,2014,47184.66913
313,Switzerland,CHE,CHE,2014,64103.01045
314,United States,USA,USA,2014,55049.98833
315,Australia,AUS,AUS,2015,46248.61646
316,Brazil,BRA,BRA,2015,14744.11363
317,United Kingdom,GBR,GBR,2015,42912.87509
318,Canada,CAN,CAN,2015,44670.08054
319,Chile,CHL,CHL,2015,22698.54566
320,China,CHN,CHN,2015,12897.50229
321,Czech Republic,CZE,CZE,2015,33899.28657
322,Denmark,DNK,DNK,2015,49045.33919
323,Euro area,EUZ,EUZ,2015,41038.03385
324,Hungary,HUN,HUN,2015,26806.59525
325,Indonesia,IDN,IDN,2015,10247.20634
326,Japan,JPN,JPN,2015,40898.80697
327,Mexico,MEX,MEX,2015,18301.50047
328,New Zealand,NZL,NZL,2015,37479.68298
329,Poland,POL,POL,2015,26862.05252
330,Russian Federation,RUS,RUS,2015,24085.32418
331,South Africa,ZAF,ZAF,2015,13701.94539
332,"Korea, Rep.",KOR,KOR,2015,37902.4004
333,Sweden,SWE,SWE,2015,49103.13343
334,Switzerland,CHE,CHE,2015,66020.20434
335,United States,USA,USA,2015,56863.3715
336,Australia,AUS,AUS,2016,47255.30701
