Country Name,Year,labsh,Country Code
Hungary,2001,0.6072734594345093,HUN
Hungary,2002,0.5883455872535706,HUN
Hungary,2003,0.6068269610404968,HUN
Hungary,2004,0.6076837182044983,HUN
Hungary,2005,0.6133489608764648,HUN
Hungary,2006,0.5931329131126404,HUN
Hungary,2007,0.5973290801048279,HUN
Hungary,2008,0.5953724980354309,HUN
Hungary,2009,0.5913692116737366,HUN
Hungary,2010,0.5720603466033936,HUN
Hungary,2011,0.5717163681983948,HUN
Hungary,2012,0.5890500545501709,HUN
Hungary,2013,0.574850857257843,HUN
Hungary,2014,0.5627790093421936,HUN
Hungary,2015,0.5508677363395691,HUN
Hungary,2016,0.5635905861854553,HUN
Indonesia,2000,0.44481533765792847,IDN
Indonesia,2001,0.4454861879348755,IDN
Indonesia,2002,0.4491589665412903,IDN
