,Country Name,Country Code,iso_a3,Year,GDP per capita
184,Chile,CHL,CHL,2009,16159.60715
185,China,CHN,CHN,2009,8307.849519
186,Czech Republic,CZE,CZE,2009,27761.50915
187,Denmark,DNK,DNK,2009,40331.40688
188,Hungary,HUN,HUN,2009,20729.78393
189,Indonesia,IDN,IDN,2009,8021.748065
190,Japan,JPN,JPN,2009,33547.28342
191,Mexico,MEX,MEX,2009,14547.64458
192,New Zealand,NZL,NZL,2009,30681.24454
193,Poland,POL,POL,2009,19239.92847
194,Russian Federation,RUS,RUS,2009,19389.94118
195,South Africa,ZAF,ZAF,2009,12568.4536
196,"Korea, Rep.",KOR,KOR,2009,29508.38151
197,Sweden,SWE,SWE,2009,40279.4616
198,Switzerland,CHE,CHE,2009,53354.00464
199,United States,USA,USA,2009,47099.98047
200,Australia,AUS,AUS,2010,39336.66348
201,Brazil,BRA,BRA,2010,14299.55514
202,United Kingdom,GBR,GBR,2010,36576.58654
203,Canada,CAN,CAN,2010,40099.44824
204,Chile,CHL,CHL,2010,18161.80924
205,China,CHN,CHN,2010,9253.765188
206,Czech Republic,CZE,CZE,2010,27881.968
207,Denmark,DNK,DNK,2010,43003.05459
208,Hungary,HUN,HUN,2010,21751.83384
209,Indonesia,IDN,IDN,2010,8505.748148
210,Japan,JPN,JPN,2010,35335.37351
211,Mexico,MEX,MEX,2010,15255.01905
212,New Zealand,NZL,NZL,2010,31222.45448
213,Poland,POL,POL,2010,21072.52658
214,Russian Federation,RUS,RUS,2010,20490.12672
215,South Africa,ZAF,ZAF,2010,12912.12503
216,"Korea, Rep.",KOR,KOR,2010,31736.62844
217,Sweden,SWE,SWE,2010,42223.91967
218,Switzerland,CHE,CHE,2010,54858.44808
219,United States,USA,USA,2010,48466.6576
220,Australia,AUS,AUS,2011,42003.15806
221,Brazil,BRA,BRA,2011,15040.06109
222,United Kingdom,GBR,GBR,2011,37379.29097
223,Canada,CAN,CAN,2011,41666.70763
224,Chile,CHL,CHL,2011,20342.56148
225,China,CHN,CHN,2011,10292.94048
226,Czech Republic,CZE,CZE,2011,29001.36804
227,Denmark,DNK,DNK,2011,44403.38484
228,Hungary,HUN,HUN,2011,23038.80802
229,Indonesia,IDN,IDN,2011,9095.741723
230,Japan,JPN,JPN,2011,36214.43977
231,Mexico,MEX,MEX,2011,16520.25922
232,New Zealand,NZL,NZL,2011,32701.3786
233,Poland,POL,POL,2011,22827.69814
234,Russian Federation,RUS,RUS,2011,22798.67443
235,South Africa,ZAF,ZAF,2011,13393.76689
236,"Korea, Rep.",KOR,KOR,2011,32546.75365
237,Sweden,SWE,SWE,2011,44608.58026
238,Switzerland,CHE,CHE,2011,57987.50203
239,United States,USA,USA,2011,49882.55813
240,Australia,AUS,AUS,2012,42836.67186
241,Brazil,BRA,BRA,2012,15046.29018
242,United Kingdom,GBR,GBR,2012,38514.02617
243,Canada,CAN,CAN,2012,42290.96541
244,Chile,CHL,CHL,2012,21507.69257
245,China,CHN,CHN,2012,11168.6973
246,Czech Republic,CZE,CZE,2012,29254.73127
247,Denmark,DNK,DNK,2012,44803.96824
248,Hungary,HUN,HUN,2012,23275.23186
249,Indonesia,IDN,IDN,2012,9713.900487
250,Japan,JPN,JPN,2012,37605.97426
251,Mexico,MEX,MEX,2012,17162.92737
252,New Zealand,NZL,NZL,2012,32988.60976
253,Poland,POL,POL,2012,23745.6978
254,Russian Federation,RUS,RUS,2012,24303.47341
255,South Africa,ZAF,ZAF,2012,13215.70868
256,"Korea, Rep.",KOR,KOR,2012,33557.12872
257,Sweden,SWE,SWE,2012,45432.43197
258,Switzerland,CHE,CHE,2012,59933.59868
259,United States,USA,USA,2012,51602.93105
260,Australia,AUS,AUS,2013,45906.44004
261,Brazil,BRA,BRA,2013,15588.72613
262,United Kingdom,GBR,GBR,2013,40218.74726
263,Canada,CAN,CAN,2013,44298.57873
264,Chile,CHL,CHL,2013,22439.27325
265,China,CHN,CHN,2013,11872.49738
266,Czech Republic,CZE,CZE,2013,30818.10816
267,Denmark,DNK,DNK,2013,46726.85414
268,Hungary,HUN,HUN,2013,24556.71535
269,Indonesia,IDN,IDN,2013,10067.46574
270,Japan,JPN,JPN,2013,39402.0251
271,Mexico,MEX,MEX,2013,17373.89746
272,New Zealand,NZL,NZL,2013,36242.62123
273,Poland,POL,POL,2013,24567.50617
274,Russian Federation,RUS,RUS,2013,26073.87453
275,South Africa,ZAF,ZAF,2013,13606.9429
276,"Korea, Rep.",KOR,KOR,2013,34244.31214
277,Sweden,SWE,SWE,2013,46312.39238
278,Switzerland,CHE,CHE,2013,62225.08727
279,United States,USA,USA,2013,53106.53677
280,Australia,AUS,AUS,2014,46880.89518
281,Brazil,BRA,BRA,2014,15718.56495
282,United Kingdom,GBR,GBR,2014,41580.60249
283,Canada,CAN,CAN,2014,45753.75055
284,Chile,CHL,CHL,2014,22786.64277
285,China,CHN,CHN,2014,12480.33853
286,Czech Republic,CZE,CZE,2014,32502.47535
287,Denmark,DNK,DNK,2014,47901.44736
288,Hungary,HUN,HUN,2014,25699.7505
289,Indonesia,IDN,IDN,2014,10278.17731
290,Japan,JPN,JPN,2014,39555.41201
291,Mexico,MEX,MEX,2014,18056.78981
292,New Zealand,NZL,NZL,2014,37293.35679
293,Poland,POL,POL,2014,25475.50469
294,Russian Federation,RUS,RUS,2014,25761.64802
295,South Africa,ZAF,ZAF,2014,13602.10264
296,"Korea, Rep.",KOR,KOR,2014,35324.49767
297,Sweden,SWE,SWE,2014,47184.66913
298,Switzerland,CHE,CHE,2014,64103.01045
299,United States,USA,USA,2014,55049.98833
300,Australia,AUS,AUS,2015,46248.61646
301,Brazil,BRA,BRA,2015,14744.11363
302,United Kingdom,GBR,GBR,2015,42912.87509
303,Canada,CAN,CAN,2015,44670.08054
304,Chile,CHL,CHL,2015,22698.54566
305,China,CHN,CHN,2015,12897.50229
306,Czech Republic,CZE,CZE,2015,33899.28657
307,Denmark,DNK,DNK,2015,49045.33919
308,Hungary,HUN,HUN,2015,26806.59525
309,Indonesia,IDN,IDN,2015,10247.20634
310,Japan,JPN,JPN,2015,40898.80697
311,Mexico,MEX,MEX,2015,18301.50047
312,New Zealand,NZL,NZL,2015,37479.68298
313,Poland,POL,POL,2015,26862.05252
314,Russian Federation,RUS,RUS,2015,24085.32418
315,South Africa,ZAF,ZAF,2015,13701.94539
316,"Korea, Rep.",KOR,KOR,2015,37902.4004
317,Sweden,SWE,SWE,2015,49103.13343
318,Switzerland,CHE,CHE,2015,66020.20434
319,United States,USA,USA,2015,56863.3715
320,Australia,AUS,AUS,2016,47255.30701
321,Brazil,BRA,BRA,2016,14256.16339
322,United Kingdom,GBR,GBR,2016,44635.29956
323,Canada,CAN,CAN,2016,46472.34025
324,Chile,CHL,CHL,2016,23437.59253
325,China,CHN,CHN,2016,13483.37727
326,Czech Republic,CZE,CZE,2016,36097.70526
327,Denmark,DNK,DNK,2016,51976.00571
328,Hungary,HUN,HUN,2016,27947.63769
329,Indonesia,IDN,IDN,2016,10494.4738
330,Japan,JPN,JPN,2016,40623.01866
331,Mexico,MEX,MEX,2016,19323.66587
332,New Zealand,NZL,NZL,2016,39955.80303
333,Poland,POL,POL,2016,28322.10698
334,Russian Federation,RUS,RUS,2016,24128.08641
335,South Africa,ZAF,ZAF,2016,13748.46142
336,"Korea, Rep.",KOR,KOR,2016,39575.45428
337,Sweden,SWE,SWE,2016,50430.25282
338,Switzerland,CHE,CHE,2016,68105.15498
339,United States,USA,USA,2016,58021.4005
