,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
57,2002,SWE,Sweden,2002,26.0,10.4,2.5,0.40160642570279403,18.65079365079365
58,2002,USA,United States,2002,2.49,1.0,2.49,0.0,0.0
59,2002,ZAF,South Africa,2002,9.7,10.9,0.8899082568807338,-64.26071257507093,8.031077249880825
60,2003,AUS,Australia,2003,3.0,1.61,1.8633540372670807,-31.241548440329126,1.103539769643611
61,2003,BRA,Brazil,2003,4.55,3.07,1.482084690553746,-45.31052802384702,2.934400104683169
62,2003,CAN,Canada,2003,3.2,1.45,2.206896551724138,-18.564702888408192,0.9623095429029673
63,2003,CHE,Switzerland,2003,6.3,1.37,4.598540145985401,69.68782826514396,1.6006207469563487
64,2003,CHL,Chile,2003,1400.0,716.0,1.9553072625698324,-27.848440495578142,93.20297951582866
65,2003,CHN,China,2003,9.9,8.28,1.1956521739130437,-55.879993582544515,7.920243699806148
66,2003,CZE,Czech Republic,2003,56.57,28.9,1.9574394463667821,-27.769762126687002,34.88060327881025
67,2003,DNK,Denmark,2003,27.75,6.78,4.092920353982301,51.03027136466054,18.5182619538299
68,2003,GBR,Britain,2003,1.99,0.632911392,3.1442000020122878,16.022140295656385,-1.131679578402086
69,2003,HUN,Hungary,2003,490.0,224.0,2.1875,-19.280442804428045,82.6800847457627
70,2003,IDN,Indonesia,2003,16100.0,8740.0,1.8421052631578947,-32.02563604583414,99.37134502923975
71,2003,JPN,Japan,2003,262.0,120.0,2.183333333333333,-19.434194341943424,71.77255985267035
72,2003,KOR,South Korea,2003,3300.0,1220.0,2.7049180327868854,-0.18752646542857798,96.97926711668275
73,2003,MEX,Mexico,2003,23.0,10.53,2.184235517568851,-19.40090341074351,16.923385758074105
74,2003,NZL,New Zealand,2003,3.95,1.78,2.2191011235955056,-18.114349682822674,1.665126384227508
75,2003,POL,Poland,2003,6.3,3.89,1.6195372750642671,-40.238476934897896,4.403069355536908
76,2003,RUS,Russia,2003,41.0,31.1,1.3183279742765273,-51.353211281308965,28.143029805477642
77,2003,SWE,Sweden,2003,30.0,8.34,3.597122302158273,32.735140301043295,20.309905921416714
78,2003,USA,United States,2003,2.71,1.0,2.71,0.0,0.0
79,2003,ZAF,South Africa,2003,13.95,7.56,1.8452380952380953,-31.91003338604814,10.622871351260995
80,2004,AUS,Australia,2004,3.25,1.43,2.272727272727273,-21.630094043887137,0.9465111160026414
81,2004,BRA,Brazil,2004,5.4,3.18,1.6981132075471699,-41.444372153545864,3.512226558304393
82,2004,CAN,Canada,2004,3.19,1.37,2.3284671532846715,-19.70802919708029,0.8348995510372406
83,2004,CHE,Switzerland,2004,6.3,1.29,4.883720930232558,68.40417000801924,1.3323415519919493
84,2004,CHL,Chile,2004,1400.0,641.0,2.1840873634945397,-24.686642638119316,93.18772750910037
85,2004,CHN,China,2004,10.4,8.28,1.2560386473429954,-56.68832250541396,8.28257368900091
86,2004,CZE,Czech Republic,2004,56.42,26.5,2.129056603773585,-26.58425504229016,34.708440989788016
87,2004,DNK,Denmark,2004,27.75,6.22,4.461414790996785,53.84188934471672,18.229812296675703
88,2004,GBR,Britain,2004,1.88,0.558659218,3.365199999259656,16.041379284815726,-1.4577934818017826
89,2004,HUN,Hungary,2004,530.0,211.0,2.5118483412322274,-13.3845399575094,83.72827804107425
90,2004,IDN,Indonesia,2004,16100.0,9120.0,1.7653508771929824,-39.12583182093164,99.37181882174573
91,2004,JPN,Japan,2004,262.0,113.0,2.3185840707964602,-20.048825144949646,71.73519777049822
92,2004,KOR,South Korea,2004,3200.0,1177.0,2.7187765505522514,-6.24908446371546,96.88730980149842
93,2004,MEX,Mexico,2004,24.0,11.6,2.0689655172413794,-28.656361474435187,17.68631813125695
94,2004,NZL,New Zealand,2004,4.35,1.64,2.652439024390244,-8.536585365853655,1.6267953767223342
95,2004,POL,Poland,2004,6.3,3.87,1.627906976744186,-43.86527666399358,4.395195694502176
96,2004,RUS,Russia,2004,42.0,29.0,1.4482758620689655,-50.05945303210464,28.557552209810588
97,2004,SWE,Sweden,2004,30.0,7.61,3.9421813403416555,35.93728759798813,20.04447589204488
98,2004,USA,United States,2004,2.9,1.0,2.9,0.0,0.0
99,2004,ZAF,South Africa,2004,12.4,6.66,1.8618618618618619,-35.79786683234959,9.375567738557063
100,2005,AUS,Australia,2005,3.25,1.3015,2.4971187091817133,-18.394813425434208,0.7291828482501566
